model,method,keep_ratio,wikitext2_ppl,baseline_ms,flashsvd_ms,speedup
Llama-2-7b,baseline,1.0,11.047426898954253,N/A,N/A,N/A
Llama-2-7b,V1,0.8,167.1352984030387,27.049,24.457,1.106
Llama-2-7b,V2,0.8,21.578396595401745,28.034,28.848,0.972
