point,total_kernel_calls,n_unique_kernels,n_gemm_variants,fragmentation_ratio,triton_time_pct,gemm_time_pct,memcpy_time_pct,sync_time_pct,top1_kernel,top1_time_pct
svd_ra48_flashsvd,19590,27,5,725.6,72.7,11.8,0.0,0.0,fused_ffn_phase1,49.3
adasvd_b0527_flashsvd,19590,32,10,612.2,72.1,14.7,0.0,0.0,fused_ffn_phase1,48.3
