timestamp,model_id,task,dataset_split,seq_len,batch_size,dtype,method,qkv_mode,rank,budget,backend,stage,seed,metric_name,metric_value,notes
2026-03-10T23:40:12,compressed_models/modernbert/dense/stsb/pretrained_base,stsb,validation,512,32,bf16,svd,per_head,,,flashsvd15,compress_eval,42,pearson,-0.009639,stage=no_finetune
2026-03-10T23:40:58,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,matthews_correlation,0.082055,stage=no_finetune
2026-03-10T23:40:58,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,matthews_correlation,0.082055,stage=no_finetune sdpa_path=flash
2026-03-10T23:40:58,compressed_models/modernbert/dense/cola/pretrained_base,cola,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,matthews_correlation,0.075040,stage=no_finetune
2026-03-10T23:41:26,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,accuracy,0.505734,stage=no_finetune
2026-03-10T23:41:26,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,accuracy,0.505734,stage=no_finetune sdpa_path=flash
2026-03-10T23:41:26,compressed_models/modernbert/dense/sst2/pretrained_base,sst2,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,accuracy,0.502294,stage=no_finetune
2026-03-10T23:41:52,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,f1,0.160256,stage=no_finetune
2026-03-10T23:41:52,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,f1,0.160256,stage=no_finetune sdpa_path=flash
2026-03-10T23:41:52,compressed_models/modernbert/dense/mrpc/pretrained_base,mrpc,validation,512,32,bf16,fwsvd,per_head,,,flashsvd15,compress_eval,42,f1,0.166667,stage=no_finetune
2026-03-10T23:47:57,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,fwsvd,per_head,,,naive,compress_eval,42,f1,0.489582,stage=no_finetune
2026-03-10T23:47:57,compressed_models/modernbert/dense/qqp/pretrained_base,qqp,validation,512,32,bf16,fwsvd,per_head,,,sdpa,compress_eval,42,f1,0.489582,stage=no_finetune sdpa_path=flash
