task,method,dtype,seq_len,batch_size,backend,lat_real,lat_synthetic,speedup_real,speedup_synth,speedup_delta,seq_pad_real
qnli,drone,bf16,512,32,flashsvd,43.95,44.26,1.475,1.156,-0.319,90.05
qnli,drone,bf16,512,32,flashsvd15,22.31,22.59,2.905,2.264,-0.641,90.05
qnli,drone,bf16,512,32,naive,64.81,51.15,1.0,1.0,0.0,90.05
qnli,drone,bf16,512,32,sdpa,26.53,25.31,2.443,2.021,-0.422,90.05
qnli,fwsvd,bf16,512,32,flashsvd,44.21,44.53,1.466,1.15,-0.316,90.05
qnli,fwsvd,bf16,512,32,flashsvd15,22.37,22.65,2.897,2.261,-0.636,90.05
qnli,fwsvd,bf16,512,32,naive,64.8,51.21,1.0,1.0,0.0,90.05
qnli,fwsvd,bf16,512,32,sdpa,26.4,25.31,2.455,2.023,-0.432,90.05
qnli,svd,bf16,512,32,flashsvd,44.12,44.5,1.468,1.151,-0.317,90.05
qnli,svd,bf16,512,32,flashsvd15,22.4,22.58,2.891,2.268,-0.623,90.05
qnli,svd,bf16,512,32,naive,64.75,51.21,1.0,1.0,0.0,90.05
qnli,svd,bf16,512,32,sdpa,26.34,25.34,2.458,2.021,-0.437,90.05
qqp,adasvd,bf16,512,32,flashsvd,44.85,44.98,1.467,1.155,-0.312,93.91
qqp,adasvd,bf16,512,32,flashsvd15,20.28,20.97,3.244,2.477,-0.767,93.91
qqp,adasvd,bf16,512,32,naive,65.79,51.95,1.0,1.0,0.0,93.91
qqp,adasvd,bf16,512,32,sdpa,27.67,26.59,2.378,1.954,-0.424,93.91
qqp,dense,bf16,512,32,flashsvd,24.66,23.54,0.999,1.0,0.001,93.91
qqp,dense,bf16,512,32,flashsvd15,24.66,23.56,0.999,0.999,0.0,93.91
qqp,dense,bf16,512,32,naive,24.63,23.54,1.0,1.0,0.0,93.91
qqp,dense,bf16,512,32,sdpa,24.65,23.54,0.999,1.0,0.001,93.91
qqp,drone,bf16,512,32,flashsvd,44.19,44.53,1.466,1.151,-0.315,93.91
qqp,drone,bf16,512,32,flashsvd15,22.35,22.64,2.899,2.264,-0.635,93.91
