task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
stsb,adasvd,sdpa,synthetic,bf16,512,32,3,26.42,0.02,1211.3,0.9,0.08
stsb,dense,flashsvd,real,bf16,512,32,3,24.66,0.18,1297.7,9.4,0.73
stsb,dense,flashsvd,synthetic,bf16,512,32,3,23.54,0.1,1359.5,5.7,0.42
stsb,dense,flashsvd15,real,bf16,512,32,3,24.62,0.11,1299.6,5.7,0.45
stsb,dense,flashsvd15,synthetic,bf16,512,32,3,23.52,0.13,1360.7,7.2,0.55
stsb,dense,naive,real,bf16,512,32,3,24.6,0.15,1300.6,8.1,0.61
stsb,dense,naive,synthetic,bf16,512,32,3,23.53,0.12,1359.9,6.7,0.51
stsb,dense,sdpa,real,bf16,512,32,3,24.62,0.08,1299.9,4.0,0.32
stsb,dense,sdpa,synthetic,bf16,512,32,3,23.53,0.08,1359.9,4.6,0.34
stsb,drone,flashsvd,real,bf16,512,32,3,44.2,0.07,724.0,1.1,0.16
stsb,drone,flashsvd,synthetic,bf16,512,32,3,44.62,0.08,717.1,1.2,0.18
stsb,drone,flashsvd15,real,bf16,512,32,3,22.27,0.1,1436.7,6.3,0.45
stsb,drone,flashsvd15,synthetic,bf16,512,32,3,22.62,0.04,1414.8,2.8,0.18
stsb,drone,naive,real,bf16,512,32,3,64.8,0.15,493.9,1.2,0.23
stsb,drone,naive,synthetic,bf16,512,32,3,51.15,0.07,625.7,0.8,0.14
stsb,drone,sdpa,real,bf16,512,32,3,26.36,0.1,1213.9,4.5,0.38
stsb,drone,sdpa,synthetic,bf16,512,32,3,25.34,0.04,1262.8,2.1,0.16
stsb,fwsvd,flashsvd,real,bf16,512,32,3,44.15,0.07,724.7,1.2,0.16
stsb,fwsvd,flashsvd,synthetic,bf16,512,32,3,44.53,0.08,718.7,1.2,0.18
stsb,fwsvd,flashsvd15,real,bf16,512,32,3,22.36,0.03,1431.1,1.9,0.13
stsb,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.63,0.01,1414.2,0.9,0.04
stsb,fwsvd,naive,real,bf16,512,32,3,64.79,0.14,493.9,1.1,0.22
stsb,fwsvd,naive,synthetic,bf16,512,32,3,51.14,0.06,625.7,0.7,0.12
stsb,fwsvd,sdpa,real,bf16,512,32,3,26.41,0.02,1211.7,1.0,0.08
stsb,fwsvd,sdpa,synthetic,bf16,512,32,3,25.32,0.03,1263.8,1.4,0.12
stsb,svd,flashsvd,real,bf16,512,32,3,44.07,0.04,726.2,0.7,0.09
stsb,svd,flashsvd,synthetic,bf16,512,32,3,44.53,0.06,718.7,0.9,0.13
stsb,svd,flashsvd15,real,bf16,512,32,3,22.18,0.11,1442.6,7.0,0.5
stsb,svd,flashsvd15,synthetic,bf16,512,32,3,22.54,0.04,1419.6,2.4,0.18
stsb,svd,naive,real,bf16,512,32,3,64.81,0.14,493.8,1.1,0.22
stsb,svd,naive,synthetic,bf16,512,32,3,51.15,0.05,625.6,0.6,0.1
stsb,svd,sdpa,real,bf16,512,32,3,26.3,0.09,1216.7,4.2,0.34
stsb,svd,sdpa,synthetic,bf16,512,32,3,25.28,0.02,1265.6,1.1,0.08
