task,method,backend,input_mode,dtype,seq_len,batch_size,n_repeats,latency_ms,latency_ms_std,throughput_sps,throughput_sps_std,cv_latency_pct
mnli,fwsvd,flashsvd15,real,bf16,512,32,3,22.28,0.1,1436.3,6.7,0.45
mnli,fwsvd,flashsvd15,synthetic,bf16,512,32,3,22.62,0.05,1415.0,3.4,0.22
mnli,fwsvd,naive,real,bf16,512,32,3,64.87,0.13,493.3,1.0,0.2
mnli,fwsvd,naive,synthetic,bf16,512,32,3,51.16,0.09,625.5,1.1,0.18
mnli,fwsvd,sdpa,real,bf16,512,32,3,26.4,0.02,1212.2,1.1,0.08
mnli,fwsvd,sdpa,synthetic,bf16,512,32,3,25.31,0.03,1264.2,1.4,0.12
mnli,svd,flashsvd,real,bf16,512,32,3,44.06,0.03,726.3,0.6,0.07
mnli,svd,flashsvd,synthetic,bf16,512,32,3,44.57,0.06,718.0,1.0,0.13
mnli,svd,flashsvd15,real,bf16,512,32,3,22.25,0.12,1437.9,8.1,0.54
mnli,svd,flashsvd15,synthetic,bf16,512,32,3,22.65,0.06,1412.7,3.6,0.26
mnli,svd,naive,real,bf16,512,32,3,64.71,0.16,494.5,1.2,0.25
mnli,svd,naive,synthetic,bf16,512,32,3,51.01,0.06,627.3,0.8,0.12
mnli,svd,sdpa,real,bf16,512,32,3,26.35,0.1,1214.6,4.4,0.38
mnli,svd,sdpa,synthetic,bf16,512,32,3,25.33,0.01,1263.6,0.6,0.04
mrpc,adasvd,flashsvd,real,bf16,512,32,3,44.23,0.07,723.5,1.1,0.16
mrpc,adasvd,flashsvd,synthetic,bf16,512,32,3,44.47,0.07,719.6,1.1,0.16
mrpc,adasvd,flashsvd15,real,bf16,512,32,3,20.23,0.03,1582.0,2.2,0.15
mrpc,adasvd,flashsvd15,synthetic,bf16,512,32,3,20.98,0.04,1525.5,2.7,0.19
mrpc,adasvd,naive,real,bf16,512,32,3,65.68,0.11,487.2,0.8,0.17
mrpc,adasvd,naive,synthetic,bf16,512,32,3,51.78,0.09,618.0,1.1,0.17
mrpc,adasvd,sdpa,real,bf16,512,32,3,27.5,0.06,1163.5,2.5,0.22
mrpc,adasvd,sdpa,synthetic,bf16,512,32,3,26.53,0.05,1206.2,2.1,0.19
mrpc,dense,flashsvd,real,bf16,512,32,3,24.57,0.11,1302.4,5.8,0.45
mrpc,dense,flashsvd,synthetic,bf16,512,32,3,23.51,0.04,1361.3,2.3,0.17
mrpc,dense,flashsvd15,real,bf16,512,32,3,24.6,0.14,1300.7,7.5,0.57
mrpc,dense,flashsvd15,synthetic,bf16,512,32,3,23.55,0.08,1358.6,4.5,0.34
mrpc,dense,naive,real,bf16,512,32,3,24.58,0.13,1302.1,7.1,0.53
mrpc,dense,naive,synthetic,bf16,512,32,3,23.52,0.11,1360.4,6.6,0.47
mrpc,dense,sdpa,real,bf16,512,32,3,24.56,0.17,1302.9,8.9,0.69
