name,model_family,variant,method,source,repo_id,revision,subpath,benchmarks,enabled,notes
llama31-8b-dense,llama3.1,base,dense,huggingface,meta-llama/Llama-3.1-8B,main,,base|speed,true,Public dense baseline row; requires access to the upstream gated model.
llama31-8b-instruct,llama3.1,instruct,dense,huggingface,meta-llama/Llama-3.1-8B-Instruct,main,,instruct|speed,true,Public instruction-tuned dense baseline row; requires access to the upstream gated model.
llama31-8b-svdllm-0.6,llama3.1,base,svdllm,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/svdllm/keep_0_6,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
llama31-8b-svdllm-v1-update-0.6,llama3.1,base,svdllm_v1_update,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/svdllm_v1_update/keep_0_6,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
llama31-8b-svdllm-v2-0.6,llama3.1,base,svdllm_v2,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/svdllm_v2/keep_0_6,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
llama31-8b-basis-sharing-0.6,llama3.1,base,basis_sharing,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/basis_sharing/keep_0_6,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
llama31-8b-asvd-0.4,llama3.1,base,asvd,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/asvd/keep_0_4,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
llama31-8b-dobi-0.8,llama3.1,base,dobi_svd,huggingface,anonymous/lowrankarena-checkpoints,main,llama31_8b/dobi_svd/keep_0_8,base|speed,false,Anonymous placeholder; replace repo_id/subpath or switch to source=local before running.
